assembly_accession	tax_id	tax_name	superkingdom	kingdom	phylum	class	order	family	genus	species
GCA_028817465.1	2775599	Cyanobacteria bacterium MAG STY1_bin_7	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_028824215.1	2775598	Cyanobacteria bacterium MAG IRC4_bin_6	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_028982285.1	2954181	Trichodesmium sp. St18_bin3_1_1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_028982325.1	2954182	Trichodesmium sp. St19_bin1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_028982335.1	2954183	Trichodesmium sp. St19_bin2	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_028982365.1	2954180	Trichodesmium sp. St18_bin1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_028982425.1	2954179	Trichodesmium sp. St17_bin3_1_1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_028982485.1	2954177	Trichodesmium sp. St16_bin4-tuft	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_028982495.1	2954178	Trichodesmium sp. St16_bin2-tuft	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_028982545.1	2954176	Trichodesmium sp. St15_bin1_1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_028982585.1	2954175	Trichodesmium sp. St11_bin5	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_028982595.1	2954174	Trichodesmium sp. St7_bin2_1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_028982625.1	2954173	Trichodesmium sp. St5_bin2_1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_028982645.1	2954172	Trichodesmium sp. St5_bin8	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_028982665.1	2954169	Trichodesmium sp. St2_bin6	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_028982685.1	2954171	Trichodesmium sp. St4_bin8_1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_028982705.1	2954170	Trichodesmium sp. St2_bin2_1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
GCA_029109325.1	3020489	Nodosilinea sp. TSF1-S3	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nodosilineales	Nodosilineaceae	Nodosilinea	NA
GCA_029167235.1	3031329	Kamptonema sp. UHCC 0994	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Kamptonema	NA
GCA_029223075.1	2909674	Arthrospira platensis NCB002	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Arthrospira	Arthrospira platensis
GCA_029237165.1	2804519	Nostoc ellipsosporum NOK	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc ellipsosporum
GCA_029243525.1	3027016	Synechococcus sp. cluster2_bin.44	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_029245205.1	3027015	Synechococcus sp. cluster2_bin.235	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_029245745.1	3027014	Synechococcus sp. cluster2_bin.209	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_029253185.1	3027163	Synechococcus sp. cluster3_bin.96	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_029287295.1	3020857	Chroococcidiopsis sp. MAG_Ve_Sed_48	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcidiopsidales	Chroococcidiopsidaceae	Chroococcidiopsis	NA
GCA_029335995.1	3034853	Thermosynechococcus sp. Uc	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Thermosynechococcaceae	Thermosynechococcus	NA
GCA_029379215.1	3019274	Rhizonema sp. PD37	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Rhizonemataceae	Rhizonema	NA
GCA_029379225.1	3019267	Nostoc sp. S4	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	NA
GCA_029379265.1	3019273	Rhizonema sp. NSF051	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Rhizonemataceae	Rhizonema	NA
GCA_029379285.1	3019275	Rhizonema sp. PD38	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Rhizonemataceae	Rhizonema	NA
GCA_029379315.1	3019266	Nostoc sp. S13	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	NA
GCA_029579715.1	3031812	Thermoleptolyngbya sichuanensis XZ-Cy5	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Oculatellaceae	Thermoleptolyngbya	Thermoleptolyngbya sichuanensis
GCA_029582805.1	1497997	Candidatus Synechococcus calcipolaris G9	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Candidatus Synechococcus calcipolaris
GCA_029602415.1	1855837	Pseudanabaena catenata USMAC16	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	Pseudanabaena catenata
GCA_029636065.1	2978474	Synechococcus sp. CCFWC 502	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_029866305.1	3041212	Cyanobium sp. D14.bin.5	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Cyanobium	NA
GCA_029891655.1	2971779	Chrysosporum ovalisporum TAC611	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Umezakia	Umezakia ovalisporum
GCA_029891665.1	2971766	Anabaenopsis sp. FSS-46	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Anabaenopsis	NA
GCA_029891675.1	2785304	Anabaenopsis tanganyikae CS-531	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Anabaenopsis	Anabaenopsis tanganyikae
GCA_029891685.1	2971778	Chrysosporum ovalisporum Ak1311	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Umezakia	Umezakia ovalisporum
GCA_029891735.1	617107	Chrysosporum bergii ANA360D	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Chrysosporum	Chrysosporum bergii
GCA_029891755.1	2971776	Chrysosporum ovalisporum FSS-62	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Umezakia	Umezakia ovalisporum
GCA_029891765.1	2971777	Chrysosporum ovalisporum CS-1034	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Umezakia	Umezakia ovalisporum
GCA_029891775.1	2740520	Chrysosporum ovalisporum FSS-43	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Umezakia	Umezakia ovalisporum
GCA_029891785.1	2740521	Chrysosporum ovalisporum FSS-44	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Umezakia	Umezakia ovalisporum
GCA_029891835.1	2971775	Chrysosporum ovalisporum FSS-45	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Umezakia	Umezakia ovalisporum
GCA_029891855.1	2152938	Anabaenopsis arnoldii	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Anabaenopsis	NA
GCA_029891865.1	2971774	Chrysosporum ovalisporum CobakiLakeB	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Umezakia	Umezakia ovalisporum
GCA_029891895.1	2971773	Chrysosporum ovalisporum CobakiLakeA	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Umezakia	Umezakia ovalisporum
GCA_029891915.1	2971772	Chrysosporum ovalisporum ANA283AFssAo	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Umezakia	Umezakia ovalisporum
GCA_029891925.1	617116	Chrysosporum ovalisporum APH033B	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Umezakia	Umezakia ovalisporum
GCA_029910235.1	2602720	Pseudanabaena galeata CCNP1313	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	Pseudanabaena galeata
GCA_029919255.1	3034674	cyanobacterium endosymbiont of Epithemia clementina EcSB	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_029935395.1	2979217	Prochlorococcaceae cyanobacterium GMC10_bin_27	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	NA	NA
GCA_029937595.1	3016335	Synechococcus sp. PW10.concoct.46	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_029953635.1	1539056	Halotia branconii CENA392	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Halotia	Halotia branconii
GCA_029976975.1	2998251	Synechococcus sp. bin124	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_029977025.1	2998250	Microcystis sp. bin122	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
GCA_029977065.1	2998253	Synechococcaceae bacterium bin123	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	NA	NA
GCA_029977125.1	2998252	Synechococcaceae bacterium bin116	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	NA	NA
GCA_029977485.1	2998249	Synechococcus sp. bin98	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_029978605.1	2998248	Synechococcus sp. bin52	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_029979535.1	2998247	Synechococcus sp. bin1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_030054075.1	3019601	Cyanobium sp. MAG06	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Cyanobium	NA
GCA_030055445.1	358560	Geitlerinema splendidum	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Coleofasciculaceae	Geitlerinema	NA
GCA_030064795.1	3036786	Pleurocapsa sp. MO_226.B13	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Hyellaceae	Pleurocapsa	NA
GCA_030064815.1	3036787	Trichodesmium sp. MO_231.B1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Trichodesmium	NA
