assembly_accession	tax_id	tax_name	superkingdom	kingdom	phylum	class	order	family	genus	species
GCF_000007925.1	167539	Prochlorococcus marinus subsp. marinus str. CCMP1375	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000009705.1	103690	Nostoc sp. PCC 7120 = FACHB-418	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	NA
GCF_000009725.1	1148	Synechocystis sp. PCC 6803	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	NA
GCF_000010065.1	269084	Synechococcus elongatus PCC 6301	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus elongatus
GCF_000010625.1	449447	Microcystis aeruginosa NIES-843	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000011345.1	197221	Thermosynechococcus vestitus BP-1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Thermosynechococcaceae	Thermosynechococcus	Thermosynechococcus vestitus
GCF_000011385.1	251221	Gloeobacter violaceus PCC 7421	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Gloeobacterales	Gloeobacteraceae	Gloeobacter	Gloeobacter violaceus
GCF_000011465.1	59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000011485.1	74547	Prochlorococcus marinus str. MIT 9313	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000012465.1	59920	Prochlorococcus marinus str. NATL2A	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000012505.1	316279	Synechococcus sp. CC9902	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000012525.1	1140	Synechococcus elongatus PCC 7942 = FACHB-805	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus elongatus
GCF_000012625.1	110662	Synechococcus sp. CC9605	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000012645.1	74546	Prochlorococcus marinus str. MIT 9312	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000013205.1	321327	Synechococcus sp. JA-3-3Ab	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000013225.1	321332	Synechococcus sp. JA-2-3B'a(2-13)	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000014585.1	64471	Synechococcus sp. CC9311	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000015645.1	146891	Prochlorococcus marinus str. AS9601	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000015665.1	167542	Prochlorococcus marinus str. MIT 9515	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000015685.1	167555	Prochlorococcus marinus str. NATL1A	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000015705.1	59922	Prochlorococcus marinus str. MIT 9303	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000015965.1	167546	Prochlorococcus marinus str. MIT 9301	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000017845.1	43989	Crocosphaera subtropica ATCC 51142	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Crocosphaera	Crocosphaera subtropica
GCF_000018065.1	93060	Prochlorococcus marinus str. MIT 9215	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000018105.1	329726	Acaryochloris marina MBIC11017	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Acaryochloridaceae	Acaryochloris	Acaryochloris marina
GCF_000018585.1	93059	Prochlorococcus marinus str. MIT 9211	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000019485.1	32049	Synechococcus sp. PCC 7002	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000020025.1	63737	Nostoc punctiforme PCC 73102	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc punctiforme
GCF_000021805.1	41431	Rippkaea orientalis PCC 8801	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Rippkaea	Rippkaea orientalis
GCF_000021825.1	65393	Gloeothece citriformis PCC 7424	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Gloeothece	Gloeothece citriformis
GCF_000025125.1	1453429	Candidatus Atelocyanobacterium thalassa isolate ALOHA	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Candidatus Atelocyanobacterium	Candidatus Atelocyanobacterium thalassa
GCF_000147335.1	497965	Gloeothece verrucosa PCC 7822	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Gloeothece	Gloeothece verrucosa
GCF_000153045.1	69042	Synechococcus sp. WH 5701	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000153065.1	221360	Synechococcus sp. RS9917	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000153285.1	59931	Synechococcus sp. WH 7805	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000153805.1	313625	Synechococcus sp. BL107	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000153825.1	221359	Synechococcus sp. RS9916	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000155555.1	118168	Coleofasciculus chthonoplastes PCC 7420	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Coleofasciculaceae	Coleofasciculus	Coleofasciculus chthonoplastes
GCF_000155595.1	91464	Synechococcus sp. PCC 7335	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000155635.1	180281	Cyanobium sp. PCC 7001	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Cyanobium	NA
GCF_000158595.1	93058	Prochlorococcus marinus str. MIT 9202	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000161795.2	166314	Synechococcus sp. WH 8109	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000167195.1	165597	Crocosphaera watsonii WH 8501	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Crocosphaera	Crocosphaera watsonii
GCF_000169095.1	313612	Lyngbya sp. PCC 8106	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Lyngbya	NA
GCF_000169135.1	313624	Nodularia spumigena CCY9414	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Nodularia	Nodularia spumigena
GCF_000169335.1	391612	Crocosphaera chwakensis CCY0110	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Crocosphaera	Crocosphaera chwakensis
GCF_000173555.1	513049	Limnospira maxima CS-328	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Sirenicapillariaceae	Limnospira	Limnospira maxima
GCF_000175835.1	533240	Cylindrospermopsis raciborskii CS-505	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Cylindrospermopsis	Cylindrospermopsis raciborskii
GCF_000179235.2	232348	Synechococcus sp. CB0101	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000179255.1	232363	Synechococcus sp. CB0205	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000180455.1	272129	Kamptonema sp. PCC 6506	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Kamptonema	NA
GCF_000195975.1	84588	Parasynechococcus marenigrum WH 8102	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Parasynechococcus	Parasynechococcus marenigrum
GCF_000196515.1	551115	'Nostoc azollae' 0708	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Trichormus	Trichormus azollae
GCF_000204075.1	240292	Trichormus variabilis ATCC 29413	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Trichormus	Trichormus variabilis
GCF_000211815.1	489825	Moorena producens 3L	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Moorena	Moorena producens
GCF_000230675.1	166318	Synechococcus sp. WH 8016	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000231365.1	741277	Fischerella thermalis JSC-11	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCF_000235665.1	423471	Crocosphaera watsonii WH 0003	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Crocosphaera	Crocosphaera watsonii
GCF_000238775.2	310037	Acaryochloris sp. CCMEE 5410	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Acaryochloridaceae	Acaryochloris	NA
GCF_000270265.1	1148	Synechocystis sp. PCC 6803	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	NA
GCF_000284135.1	1080228	Synechocystis sp. PCC 6803 substr. GT-I	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	Synechocystis sp. PCC 6803
GCF_000284215.1	1080229	Synechocystis sp. PCC 6803 substr. PCC-N	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	Synechocystis sp. PCC 6803
GCF_000284455.1	1080230	Synechocystis sp. PCC 6803 substr. PCC-P	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	Synechocystis sp. PCC 6803
GCF_000297435.1	1160279	Microcystis sp. T1-4	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
GCF_000300115.1	1188	Tolypothrix sp. PCC 7601	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Tolypothrichaceae	Tolypothrix	NA
GCF_000307995.1	1160280	Microcystis aeruginosa PCC 9432	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000309385.1	118166	Nodosilinea nodulosa PCC 7104	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nodosilineales	Nodosilineaceae	Nodosilinea	Nodosilinea nodulosa
GCF_000312165.1	1160286	Microcystis aeruginosa PCC 9717	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000312185.1	1160281	Microcystis aeruginosa PCC 9443	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000312205.1	213618	Microcystis aeruginosa PCC 7941	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000312225.1	1160283	Microcystis aeruginosa PCC 9807	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000312245.1	1160284	Microcystis aeruginosa PCC 9808	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000312265.1	1160285	Microcystis aeruginosa PCC 9809	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000312285.1	721123	Microcystis aeruginosa PCC 9701	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000312705.1	46234	Anabaena sp. 90	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	NA
GCF_000312725.1	1160282	Microcystis aeruginosa PCC 9806	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000314005.1	1173029	Spirulina subsalsa PCC 9445	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulinaceae	Spirulina	Spirulina subsalsa
GCF_000315565.1	221288	Mastigocladopsis repens PCC 10914	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Symphyonemataceae	Mastigocladopsis	Mastigocladopsis repens
GCF_000315585.1	1174528	Fischerella sp. PCC 9339	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	NA
GCF_000316515.1	292564	Cyanobium gracile PCC 6307	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Cyanobium	Cyanobium gracile
GCF_000316575.1	99598	Calothrix sp. PCC 7507	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	NA
GCF_000316605.1	111781	Leptolyngbya sp. PCC 7376	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Leptolyngbyaceae	Leptolyngbya	NA
GCF_000316625.1	317936	Nostoc sp. PCC 7107	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	NA
GCF_000316645.1	28072	Nostoc sp. PCC 7524	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	NA
GCF_000316665.1	373994	Rivularia sp. PCC 7116	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Rivulariaceae	Rivularia	NA
GCF_000316685.1	195253	Synechococcus sp. PCC 6312	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000317025.1	118163	Pleurocapsa sp. PCC 7327	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Hyellaceae	Pleurocapsa	NA
GCF_000317045.1	1173025	Geitlerinema sp. PCC 7407	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Coleofasciculaceae	Geitlerinema	NA
GCF_000317065.1	82654	Pseudanabaena sp. PCC 7367	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	NA
GCF_000317085.1	1173263	Synechococcus sp. PCC 7502	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000317105.1	56110	Oscillatoria acuminata PCC 6304	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Oscillatoria	Oscillatoria acuminata
GCF_000317125.1	251229	Chroococcidiopsis thermalis PCC 7203	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcidiopsidales	Chroococcidiopsidaceae	Chroococcidiopsis	Chroococcidiopsis thermalis
GCF_000317145.1	1173020	Chamaesiphon minutus PCC 6605	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Chamaesiphonaceae	Chamaesiphon	Chamaesiphon minutus
GCF_000317205.1	306281	Fischerella muscicola PCC 7414	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella muscicola
GCF_000317225.1	98439	Fischerella thermalis PCC 7521	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCF_000317245.1	372781	Fischerella muscicola SAG 1427-1 = PCC 73103	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella muscicola
GCF_000317265.1	184925	Chlorogloeopsis fritschii PCC 9212	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Chlorogloeopsidaceae	Chlorogloeopsis	Chlorogloeopsis fritschii
GCF_000317285.1	211165	Chlorogloeopsis fritschii PCC 6912	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Chlorogloeopsidaceae	Chlorogloeopsis	Chlorogloeopsis fritschii
GCF_000317435.1	1170562	Calothrix sp. PCC 6303	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	NA
GCF_000317475.1	179408	Oscillatoria nigro-viridis PCC 7112	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Oscillatoria	Oscillatoria nigro-viridis
GCF_000317495.1	1173022	Crinalium epipsammum PCC 9333	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Gomontiellaceae	Crinalium	Crinalium epipsammum
GCF_000317515.1	1173027	Allocoleopsis franciscana PCC 7113	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Coleofasciculaceae	Allocoleopsis	Allocoleopsis franciscana
GCF_000317535.1	56107	Cylindrospermum stagnale PCC 7417	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Cylindrospermum	Cylindrospermum stagnale
GCF_000317555.1	1173026	Gloeocapsa sp. PCC 7428	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Chroococcaceae	Gloeocapsa	NA
GCF_000317575.1	111780	Stanieria cyanosphaera PCC 7437	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Dermocarpellaceae	Stanieria	Stanieria cyanosphaera
GCF_000317615.1	13035	Dactylococcopsis salina PCC 8305	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Dactylococcopsis	Dactylococcopsis salina
GCF_000317635.1	65093	Halothece sp. PCC 7418	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Halothece	NA
GCF_000317675.1	755178	Cyanobacterium aponinum PCC 10605	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Geminocystaceae	Cyanobacterium	Cyanobacterium aponinum
GCF_000317695.1	272123	Anabaena cylindrica PCC 7122	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	Anabaena cylindrica
GCF_000330925.1	1134457	Microcystis aeruginosa TAIHU98	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000332035.1	102232	Gloeocapsa sp. PCC 73106	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Chroococcaceae	Gloeocapsa	NA
GCF_000332055.1	102125	Xenococcus sp. PCC 7305	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Xenococcaceae	Xenococcus	NA
GCF_000332075.2	927677	Synechocystis sp. PCC 7509	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	NA
GCF_000332095.2	1173264	Leptolyngbya sp. PCC 6406	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Leptolyngbyaceae	Leptolyngbya	NA
GCF_000332135.1	163908	Anabaena sp. PCC 7108	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	NA
GCF_000332155.1	402777	Kamptonema formosum PCC 6407	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Kamptonema	Kamptonema formosum
GCF_000332175.1	118173	Pseudanabaena sp. PCC 6802	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	NA
GCF_000332195.1	118161	Pleurocapsa sp. PCC 7319	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Hyellaceae	Pleurocapsa	NA
GCF_000332215.1	927668	Pseudanabaena biceps PCC 7429	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	Pseudanabaena biceps
GCF_000332235.1	113355	Geminocystis herdmanii PCC 6308	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Chroococcaceae	Geminocystis	Geminocystis herdmanii
GCF_000332275.1	195250	Synechococcus sp. PCC 7336	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000332295.1	643473	Fortiea contorta PCC 7126	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Fortieaceae	Fortiea	Fortiea contorta
GCF_000332315.1	317619	Prochlorothrix hollandica PCC 9006 = CALU 1027	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Prochlorotrichaceae	Prochlorothrix	Prochlorothrix hollandica
GCF_000332335.1	1173028	Oscillatoria sp. PCC 10802	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Oscillatoria	NA
GCF_000332355.1	102127	Baaleninema simplex PCC 7105	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Baaleninema	Baaleninema simplex
GCF_000332585.1	267865	Microcystis aeruginosa FACHB-905 = DIANCHI905	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000340565.2	313624	Nodularia spumigena CCY9414	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Nodularia	Nodularia spumigena
GCF_000340785.1	1148	Synechocystis sp. PCC 6803	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	NA
GCF_000346485.2	128403	Scytonema hofmannii PCC 7110	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Scytonemataceae	Scytonema	Scytonema hofmannii
GCF_000350105.1	1165094	Richelia intracellularis HH01	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Richelia	Richelia intracellularis
GCF_000350125.1	1165095	Richelia intracellularis HM01	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Richelia	Richelia intracellularis
GCF_000353285.1	272134	Leptolyngbya boryana PCC 6306	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya boryana
GCF_000412595.1	482300	Microcystis aeruginosa SPC777	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000426905.1	398007	Dolichospermum circinale AWQC131C	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Dolichospermum	Dolichospermum circinale
GCF_000426925.1	553470	Dolichospermum circinale AWQC310F	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Dolichospermum	Dolichospermum circinale
GCF_000447295.1	1173023	Fischerella sp. PCC 9431	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	NA
GCF_000464665.1	329553	Planktothrix agardhii NIVA-CYA 15	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix agardhii
GCF_000464725.1	213631	Planktothrix agardhii NIVA-CYA 34	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix agardhii
GCF_000464745.1	545630	Planktothrix mougeotii NIVA-CYA 405	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix mougeotii
GCF_000464765.1	545626	Planktothrix prolifica NIVA-CYA 406	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix prolifica
GCF_000464785.1	1255374	Planktothrix rubescens NIVA-CYA 407	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix rubescens
GCF_000464805.1	1255359	Planktothrix prolifica NIVA-CYA 540	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix prolifica
GCF_000464825.1	329545	Planktothrix agardhii NIVA-CYA 56/3	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix agardhii
GCF_000464845.1	329562	Planktothrix prolifica NIVA-CYA 98	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix prolifica
GCF_000473895.1	582515	Rubidibacter lacunae KORDI 51-2	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Rubidibacter	Rubidibacter lacunae
GCF_000478195.2	1348334	Lyngbya aestuarii BL J	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Lyngbya	Lyngbya aestuarii
GCF_000478825.2	1147	Synechocystis sp. PCC 6714	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	NA
GCF_000482245.1	1385935	Leptolyngbya sp. Heron Island J	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Leptolyngbyaceae	Leptolyngbya	NA
GCF_000484535.1	1183438	Gloeobacter kilaueensis JS1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Gloeobacterales	Gloeobacteraceae	Gloeobacter	Gloeobacter kilaueensis
GCF_000485815.1	1407650	Synechococcus sp. NKBG15041c	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
